"OrderID","CustomerName","City","Product","Category","Quantity","Price","Discount","PaymentMethod","Revenue","DiscountAmount","FinalAmount","OrderSize","Tax","TotalBill"
2,"Rohit","Pune","Mobile","Fashion",9,11000,20,"UPI",99000,19800,79200,"Large",14256,93456
10,"Arjun","Pune","Laptop","Fashion",4,34500,5,"Cash",138000,6900,131100,"Medium",23598,154698
15,"Amit","Pune","Watch","Electronics",2,43500,15,"Cash",87000,13050,73950,"Small",13311,87261
21,"Rahul","Pune","Shoes","Electronics",9,41500,20,"Card",373500,74700,298800,"Large",53784,352584
29,"Rohit","Pune","Watch","Electronics",5,7500,10,"Card",37500,3750,33750,"Medium",6075,39825
31,"Rahul","Pune","Mobile","Electronics",7,10000,10,"Cash",70000,7000,63000,"Medium",11340,74340
35,"Sneha","Pune","Shoes","Fashion",10,12000,15,"Card",120000,18000,102000,"Large",18360,120360
42,"Kiran","Pune","Shoes","Fashion",9,27000,10,"Card",243000,24300,218700,"Large",39366,258066
43,"Amit","Pune","Mobile","Fashion",1,6500,10,"Card",6500,650,5850,"Small",1053,6903
52,"Arjun","Pune","Shoes","Fashion",8,18500,20,"Card",148000,29600,118400,"Large",21312,139712
55,"Priya","Pune","Laptop","Electronics",6,43000,15,"Cash",258000,38700,219300,"Medium",39474,258774
59,"Amit","Pune","Mobile","Electronics",7,31000,0,"Card",217000,0,217000,"Medium",39060,256060
60,"Arjun","Pune","Watch","Electronics",7,20000,5,"UPI",140000,7000,133000,"Medium",23940,156940
61,"Arjun","Pune","Shoes","Fashion",7,47500,10,"UPI",332500,33250,299250,"Medium",53865,353115
64,"Rohit","Pune","Tablet","Fashion",8,7000,0,"UPI",56000,0,56000,"Large",10080,66080
67,"Rahul","Pune","Watch","Electronics",9,11500,5,"Card",103500,5175,98325,"Large",17698.5,116023.5
69,"Priya","Pune","Watch","Fashion",6,23000,0,"Cash",138000,0,138000,"Medium",24840,162840
77,"Neha","Pune","Laptop","Electronics",1,22500,15,"UPI",22500,3375,19125,"Small",3442.5,22567.5
81,"Sneha","Pune","Watch","Electronics",3,23000,5,"Cash",69000,3450,65550,"Small",11799,77349
83,"Priya","Pune","Shoes","Fashion",6,30000,5,"Cash",180000,9000,171000,"Medium",30780,201780
86,"Sneha","Pune","Tablet","Fashion",3,8500,10,"Card",25500,2550,22950,"Small",4131,27081
87,"Rohit","Pune","Shoes","Electronics",5,4500,15,"Card",22500,3375,19125,"Medium",3442.5,22567.5
91,"Sneha","Pune","Tablet","Fashion",8,16500,20,"Card",132000,26400,105600,"Large",19008,124608
94,"Amit","Pune","Tablet","Fashion",10,36000,0,"Cash",360000,0,360000,"Large",64800,424800
95,"Neha","Pune","Mobile","Fashion",6,2500,5,"Card",15000,750,14250,"Medium",2565,16815
101,"Rahul","Pune","Shoes","Electronics",5,23000,20,"Cash",115000,23000,92000,"Medium",16560,108560
102,"Neha","Pune","Watch","Electronics",9,41500,10,"Cash",373500,37350,336150,"Large",60507,396657
111,"Kiran","Pune","Tablet","Fashion",9,23000,5,"UPI",207000,10350,196650,"Large",35397,232047
112,"Sneha","Pune","Mobile","Fashion",3,44500,20,"UPI",133500,26700,106800,"Small",19224,126024
114,"Rohit","Pune","Tablet","Electronics",5,21500,15,"UPI",107500,16125,91375,"Medium",16447.5,107822.5
117,"Sneha","Pune","Mobile","Electronics",3,7000,0,"UPI",21000,0,21000,"Small",3780,24780
123,"Rohit","Pune","Tablet","Electronics",8,41000,15,"Cash",328000,49200,278800,"Large",50184,328984
139,"Sneha","Pune","Shoes","Electronics",3,24500,0,"Card",73500,0,73500,"Small",13230,86730
141,"Neha","Pune","Tablet","Fashion",2,25500,10,"Cash",51000,5100,45900,"Small",8262,54162
146,"Sneha","Pune","Watch","Fashion",2,34500,10,"Card",69000,6900,62100,"Small",11178,73278
154,"Kiran","Pune","Laptop","Fashion",2,47000,20,"UPI",94000,18800,75200,"Small",13536,88736
159,"Arjun","Pune","Laptop","Electronics",10,18000,20,"Cash",180000,36000,144000,"Large",25920,169920
162,"Amit","Pune","Shoes","Fashion",5,47500,15,"UPI",237500,35625,201875,"Medium",36337.5,238212.5
166,"Kiran","Pune","Laptop","Fashion",7,38000,15,"UPI",266000,39900,226100,"Medium",40698,266798
168,"Priya","Pune","Watch","Electronics",4,31000,15,"Cash",124000,18600,105400,"Medium",18972,124372
177,"Priya","Pune","Watch","Fashion",4,37000,10,"Card",148000,14800,133200,"Medium",23976,157176
179,"Neha","Pune","Mobile","Fashion",2,9500,0,"Card",19000,0,19000,"Small",3420,22420
184,"Rahul","Pune","Laptop","Fashion",10,33500,5,"UPI",335000,16750,318250,"Large",57285,375535
195,"Neha","Pune","Watch","Fashion",6,48500,0,"Cash",291000,0,291000,"Medium",52380,343380
197,"Rohit","Pune","Shoes","Fashion",5,37000,20,"Card",185000,37000,148000,"Medium",26640,174640
