"OrderID","CustomerName","City","Product","Category","Quantity","Price","Discount","PaymentMethod","Revenue","DiscountAmount","FinalAmount","OrderSize","Tax","TotalBill"
1,"Rohit","Bangalore","Mobile","Fashion",5,45500,5,"UPI",227500,11375,216125,"Medium",38902.5,255027.5
2,"Rohit","Pune","Mobile","Fashion",9,11000,20,"UPI",99000,19800,79200,"Large",14256,93456
3,"Priya","Delhi","Shoes","Electronics",3,31500,15,"Cash",94500,14175,80325,"Small",14458.5,94783.5
4,"Sneha","Bangalore","Tablet","Electronics",7,44500,10,"Cash",311500,31150,280350,"Medium",50463,330813
5,"Priya","Delhi","Watch","Fashion",7,7500,20,"UPI",52500,10500,42000,"Medium",7560,49560
6,"Amit","Hyderabad","Mobile","Electronics",2,17500,10,"UPI",35000,3500,31500,"Small",5670,37170
7,"Amit","Bangalore","Tablet","Fashion",2,15000,15,"Card",30000,4500,25500,"Small",4590,30090
8,"Sneha","Bangalore","Tablet","Fashion",5,17000,0,"Card",85000,0,85000,"Medium",15300,100300
9,"Priya","Bangalore","Tablet","Fashion",8,34500,15,"Cash",276000,41400,234600,"Large",42228,276828
10,"Arjun","Pune","Laptop","Fashion",4,34500,5,"Cash",138000,6900,131100,"Medium",23598,154698
11,"Neha","Mumbai","Laptop","Electronics",4,35500,0,"UPI",142000,0,142000,"Medium",25560,167560
12,"Sneha","Delhi","Tablet","Fashion",7,1000,20,"Cash",7000,1400,5600,"Medium",1008,6608
13,"Sneha","Bangalore","Shoes","Fashion",10,40000,10,"Card",4e+05,40000,360000,"Large",64800,424800
14,"Rahul","Delhi","Shoes","Electronics",5,11500,15,"Cash",57500,8625,48875,"Medium",8797.5,57672.5
15,"Amit","Pune","Watch","Electronics",2,43500,15,"Cash",87000,13050,73950,"Small",13311,87261
16,"Priya","Hyderabad","Mobile","Fashion",2,44000,0,"Card",88000,0,88000,"Small",15840,103840
17,"Kiran","Hyderabad","Mobile","Fashion",3,10500,15,"UPI",31500,4725,26775,"Small",4819.5,31594.5
18,"Arjun","Mumbai","Shoes","Electronics",6,41000,15,"UPI",246000,36900,209100,"Medium",37638,246738
19,"Priya","Delhi","Mobile","Electronics",2,9500,10,"Card",19000,1900,17100,"Small",3078,20178
20,"Priya","Hyderabad","Laptop","Electronics",10,4500,0,"Cash",45000,0,45000,"Large",8100,53100
21,"Rahul","Pune","Shoes","Electronics",9,41500,20,"Card",373500,74700,298800,"Large",53784,352584
22,"Neha","Bangalore","Tablet","Electronics",3,31000,15,"Cash",93000,13950,79050,"Small",14229,93279
23,"Rahul","Mumbai","Laptop","Electronics",6,41500,10,"Card",249000,24900,224100,"Medium",40338,264438
24,"Rahul","Bangalore","Watch","Electronics",3,34500,15,"Card",103500,15525,87975,"Small",15835.5,103810.5
25,"Arjun","Hyderabad","Tablet","Electronics",8,22500,15,"Cash",180000,27000,153000,"Large",27540,180540
26,"Priya","Hyderabad","Shoes","Electronics",1,40000,15,"Card",40000,6000,34000,"Small",6120,40120
27,"Kiran","Hyderabad","Mobile","Electronics",2,16000,10,"Cash",32000,3200,28800,"Small",5184,33984
28,"Amit","Hyderabad","Watch","Fashion",5,24000,10,"UPI",120000,12000,108000,"Medium",19440,127440
